id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag,override_applied,override_id,override_decision,override_by,override_date,override_reason
RUPTL:RUPTL-NTT-P-0001,,RUPTL-NTT-P-0001,Alor,PLTMG,7.0,Nusa Tenggara Timur,,Construction,,,,-8.285133,124.740098,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,7.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0002,,RUPTL-NTT-P-0002,Alor 2,PLTMG,10.0,Nusa Tenggara Timur,,Planned,,,,-8.285133,124.740098,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0003,,RUPTL-NTT-P-0003,Lisdes,PLTS,3.5,Nusa Tenggara Timur,,Planned,,,,-8.495499,121.152512,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.5,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0004,,RUPTL-NTT-P-0004,Lisdes,PLTS,2.92,Nusa Tenggara Timur,,Planned,,,,-8.673552,121.001718,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.92,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0005,,RUPTL-NTT-P-0005,Lisdes,PLTS,5.61,Nusa Tenggara Timur,,Planned,,,,-8.484172,121.17575,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.61,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0006,,RUPTL-NTT-P-0006,Sumba (Kuota) Tersebar,PLTM,1.6,Nusa Tenggara Timur,,Planned,,,,-8.839158,120.880369,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.6,,PLTM,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0007,,RUPTL-NTT-P-0007,Waingapu,PLTMG,10.0,Nusa Tenggara Timur,,Construction,,,,-9.652179,120.263691,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTMG,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0008,,RUPTL-NTT-P-0008,Alor (Kalabahi),PLTS,1.2,Nusa Tenggara Timur,,Planned,,,,-8.285133,124.740098,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.2,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0009,,RUPTL-NTT-P-0009,Kalabahi (Kuota) Tersebar,PLTS,1.0,Nusa Tenggara Timur,,Planned,,,,-8.629859,121.292638,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0011,,RUPTL-NTT-P-0011,Lembata,PLTS,3.0,Nusa Tenggara Timur,,Planned,,,,-8.693548,120.3535,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0012,,RUPTL-NTT-P-0012,Maubesi,PLTB,3.3,Nusa Tenggara Timur,,Planned,,,,-8.628133,121.131679,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.3,,PLTB,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0013,,RUPTL-NTT-P-0013,Flores (Labuhan Bajo dan lokasi lain),PLTS,10.0,Nusa Tenggara Timur,,Planned,,,,-8.830848,121.094982,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,PLTS,,,,,,,,,,,,,,,,
GEN-NTT-0015,GEN-NTT-0015,RUPTL-NTT-P-0014,PLTMG Flores,PLTMG,20.0,Nusa Tenggara Timur,NTT,existing,Utility,,,-8.4610735,119.9435178,PROBABLE_MATCH,0.80,"token set sama, jarak=0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,20.0,20.0,PLTMG,PLTS,Utility,,false,true,,false,way/937059866,gas,OSM-overpass,,,,,,,
RUPTL:RUPTL-NTT-P-0015,,RUPTL-NTT-P-0015,Rote,PLTS,1.2,Nusa Tenggara Timur,,Planned,,,,-8.823748,121.011368,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.2,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0016,,RUPTL-NTT-P-0016,Rote,PLTS,2.0,Nusa Tenggara Timur,,Planned,,,,-8.74863,121.006934,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.0,,PLTS,,,,,,,,,,,,,,,,
RUPTL:RUPTL-NTT-P-0017,,RUPTL-NTT-P-0017,Sumba (Kuota) Tersebar,PLTM,2.0,Nusa Tenggara Timur,,Planned,,,,-8.823576,121.118001,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.0,,PLTM,,,,,,,,,,,,,,,,
