complex_id,region,complex_name,parent_type,parent_feature_id,merge_mode,child_feature_ids,total_capacity_mw,evidence,curated_by,curated_date
CPX-KAMOJANG-01,jamali,PLTP Kamojang Complex,PLTP,GEN-JMB-0001,MERGE_AS_ONE_COMPLEX,GEN-JMB-0001;GEN-JMB-0155;GEN-JMB-0156;GEN-JMB-0157;GEN-JMB-0158;GEN-JMB-0159;GEN-JMB-0160;GEN-JMB-0161;GEN-JMB-0162;GEN-JMB-0163,235.85,OSM relation/7406922 named parent + 9 nested unnamed ways within 3km all same operator Indonesia Power/Pertamina Geothermal — Kamojang geothermal field West Java 235 MW total,sandro,2026-09-07
CPX-PATUHA-01,jamali,PLTP Patuha Complex,PLTP,GEN-JMB-0094,MERGE_AS_ONE_COMPLEX,GEN-JMB-0094;GEN-JMB-0177;GEN-JMB-0178,55.0,PLTP Patuha 55 MW operated by PT Geo Dipa Energi — 2 satellite pads dari OSM (way/1376673992 + way/1376687177) same operator within 3km,sandro,2026-09-07
CPX-DARAJAT-01,jamali,PLTP Darajat Complex,PLTP,GEN-JMB-0038,MERGE_AS_ONE_COMPLEX,GEN-JMB-0038;GEN-JMB-0095;GEN-JMB-0165;GEN-JMB-0166;GEN-JMB-0167;GEN-JMB-0168;GEN-JMB-0169,280.17,PLTP Darajat operated by Star Energy Geothermal (formerly Chevron) — Unit 1 55 MW (GEN-JMB-0095 tagged 'Indonesia Power' pre-2007 legacy operator) + Units 2-3 225 MW + 5 satellite pads. Real total ~270-280 MW = Darajat 1+2+3,sandro,2026-09-07
CPX-SALAK-01,jamali,PLTP Salak Complex,PLTP,GEN-JMB-0018,MERGE_AS_ONE_COMPLEX,GEN-JMB-0018;GEN-JMB-0020;GEN-JMB-0021;GEN-JMB-0096,363.0,PLTP Gunung Salak 6 units total ~375 MW — 3 units 180 MW Star Energy (GEN-JMB-0018) + 3 units 180 MW Pertamina/Indonesia Power (GEN-JMB-0096) + 2 satellite pads OSM way/167369571 and way/167369572,sandro,2026-09-07
CPX-DIENG-01,jamali,PLTP Dieng Complex,PLTP,GEN-JMB-0119,PARTIAL_MERGE,GEN-JMB-0119;RUPTL:RUPTL-JAMALI-P-0123;RUPTL:RUPTL-JAMALI-P-0126;RUPTL:RUPTL-JAMALI-P-0130;RUPTL:RUPTL-JAMALI-P-0131;RUPTL:RUPTL-JAMALI-P-0149;RUPTL:RUPTL-JAMALI-P-0150;RUPTL:RUPTL-JAMALI-P-0151,70.0,Dieng geothermal field operated by Geo Dipa Energi — 1 existing baseline 70 MW + 7 planned FTP2 units 55/35/55/55/55/55/35 MW across COD 2027-2033. Parent = baseline existing; planned children preserved for year filter,sandro,2026-09-08
CPX-SORIK-MARAPI-01,sumatra,PLTP Sorik Marapi Complex,PLTP,GEN-SMT-0072,PARTIAL_MERGE,GEN-SMT-0072;RUPTL:RUPTL-SUMATRA-P-0027,240.0,PLTP Sorik Marapi 240 MW existing baseline + 98 MW planned FTP2 unit COD 2025 (same coordinate 0.7150,99.5707) — geothermal field Mandailing Natal North Sumatra,sandro,2026-09-08
CPX-LUMUT-BALAI-01,sumatra,PLTP Lumut Balai Complex,PLTP,GEN-SMT-0067,PARTIAL_MERGE,GEN-SMT-0067;RUPTL:RUPTL-SUMATRA-P-0102;RUPTL:RUPTL-SUMATRA-P-0115;RUPTL:RUPTL-SUMATRA-P-0116,110.0,PLTP Lumut Balai existing baseline 110 MW + 3 planned FTP2 units (#2 COD 2025 55 MW; #3+#4 COD 2033 55 MW each) — Pertamina Geothermal Energy South Sumatra,sandro,2026-09-08
CPX-BATURADEN-01,jamali,PLTP Baturaden Complex,PLTP,RUPTL:RUPTL-JAMALI-P-0138,MERGE_AS_ONE_COMPLEX,RUPTL:RUPTL-JAMALI-P-0138;RUPTL:RUPTL-JAMALI-P-0139;RUPTL:RUPTL-JAMALI-P-0143,220.0,PLTP Baturaden FTP2 3 planned units 110+75+35 MW proposed COD 2031-2032 same site (Central Java) — planned-only complex,sandro,2026-09-08
CPX-BEDUGUL-01,jamali,PLTP Bedugul Complex,PLTP,RUPTL:RUPTL-JAMALI-P-0272,MERGE_AS_ONE_COMPLEX,RUPTL:RUPTL-JAMALI-P-0272;RUPTL:RUPTL-JAMALI-P-0273;RUPTL:RUPTL-JAMALI-P-0274;RUPTL:RUPTL-JAMALI-P-0275,175.0,PLTP Bedugul 4 planned units 5+60+55+55 MW proposed COD 2028-2033 same site (Bali) — planned-only complex,sandro,2026-09-08
CPX-RANTAU-DEDAP-01,sumatra,PLTP Rantau Dedap Complex,PLTP,GEN-SMT-0004,PARTIAL_MERGE,GEN-SMT-0004;RUPTL:RUPTL-SUMATRA-P-0108,91.0,PLTP Rantau Dedap existing baseline 91 MW + 17 MW planned FTP2 unit COD 2030 same coordinate — Supreme Energy South Sumatra,sandro,2026-09-08
